"","word_target","word","relation","n"
"640","Vimes","believe","nsubj",1
"641","Vimes","bent","nsubj",1
"642","Vimes","bit","nsubj",1
"643","Vimes","blushed","nsubj",1
"644","Vimes","bought","nsubj",1
"645","Vimes","bring","nsubj",1
"646","Vimes","buckled","nsubj",1
"647","Vimes","buzzed","nsubj",1
"648","Vimes","chase","nsubj",1
"649","Vimes","checked","nsubj",1
"650","Vimes","closed","nsubj",1
"651","Vimes","Come","nsubj",1
"652","Vimes","concentrated","nsubj",1
"653","Vimes","counted","nsubj",1
"654","Vimes","craned","nsubj",1
"655","Vimes","cupped","nsubj",1
"656","Vimes","dabbed","nsubj",1
"657","Vimes","dare","nsubj",1
"658","Vimes","demanded","nsubj",1
"659","Vimes","digested","nsubj",1
"660","Vimes","digesting","nsubj",1
"661","Vimes","docked","nsubj",1
"662","Vimes","dressed","nsubj",1
"663","Vimes","drew","nsubj",1
"664","Vimes","dried","nsubj",1
"665","Vimes","drink","nsubj",1
"666","Vimes","dropped","nsubj",1
"667","Vimes","drummed","nsubj",1
"668","Vimes","eased","nsubj",1
"669","Vimes","elbowed","nsubj",1
"670","Vimes","estimated","nsubj",1
"671","Vimes","expecting","nsubj",1
"672","Vimes","explained","nsubj",1
"673","Vimes","faced","nsubj",1
"674","Vimes","fancied","nsubj",1
"675","Vimes","feeling","nsubj",1
"676","Vimes","find","nsubj",1
"677","Vimes","finished","nsubj",1
"678","Vimes","forbidden","nsubj",1
"679","Vimes","forgotten","nsubj",1
"680","Vimes","formed","nsubj",1
"681","Vimes","gestured","nsubj",1
"682","Vimes","gets","nsubj",1
"683","Vimes","glumly","nsubj",1
"684","Vimes","go","nsubj",1
"685","Vimes","going","nsubj",1
"686","Vimes","grew","nsubj",1
"687","Vimes","grimaced","nsubj",1
"688","Vimes","grinned","nsubj",1
"689","Vimes","gritted","nsubj",1
"690","Vimes","growled","nsubj",1
"691","Vimes","hammered","nsubj",1
"692","Vimes","have","nsubj",1
"693","Vimes","hear","nsubj",1
"694","Vimes","hears","nsubj",1
"695","Vimes","held","nsubj",1
"696","Vimes","help","nsubj",1
"697","Vimes","hesitated--","nsubj",1
"698","Vimes","hinted","nsubj",1
"699","Vimes","hoped","nsubj",1
"700","Vimes","hurried","nsubj",1
"701","Vimes","ignored","nsubj",1
"702","Vimes","inform","nsubj",1
"703","Vimes","inhabiting","nsubj",1
"704","Vimes","inhaled","nsubj",1
"705","Vimes","interrupted","nsubj",1
"706","Vimes","known","nsubj",1
"707","Vimes","led","nsubj",1
"708","Vimes","lies","nsubj",1
"709","Vimes","liked","nsubj",1
"710","Vimes","limped","nsubj",1
"711","Vimes","listening","nsubj",1
"712","Vimes","lit","nsubj",1
"713","Vimes","manage","nsubj",1
"714","Vimes","marched","nsubj",1
"715","Vimes","mastered","nsubj",1
"716","Vimes","move","nsubj",1
"717","Vimes","moved","nsubj",1
"718","Vimes","mumbled","nsubj",1
"719","Vimes","murmured","nsubj",1
"720","Vimes","narrowed","nsubj",1
"721","Vimes","noted","nsubj",1
"722","Vimes","paced","nsubj",1
"723","Vimes","paid","nsubj",1
"724","Vimes","panicked","nsubj",1
"725","Vimes","panted","nsubj",1
"726","Vimes","passed","nsubj",1
"727","Vimes","pays","nsubj",1
"728","Vimes","pinched","nsubj",1
"729","Vimes","plunged","nsubj",1
"730","Vimes","poked","nsubj",1
"731","Vimes","prayed","nsubj",1
"732","Vimes","press","nsubj",1
"733","Vimes","prised","nsubj",1
"734","Vimes","prodded","nsubj",1
"735","Vimes","prompted.\'And","nsubj",1
"736","Vimes","prompted.\'Yes.\'\'Tell","nsubj",1
"737","Vimes","protested","nsubj",1
"738","Vimes","rallied","nsubj",1
"739","Vimes","react","nsubj",1
"740","Vimes","reasoned","nsubj",1
"741","Vimes","recall","nsubj",1
"742","Vimes","redoubled","nsubj",1
"743","Vimes","reflected","nsubj",1
"744","Vimes","refused","nsubj",1
"745","Vimes","regard","nsubj",1
"746","Vimes","regathered","nsubj",1
"747","Vimes","relaxed","nsubj",1
"748","Vimes","remained","nsubj",1
"749","Vimes","remember","nsubj",1
"750","Vimes","repeated","nsubj",1
"751","Vimes","resumed","nsubj",1
"752","Vimes","returned","nsubj",1
"753","Vimes","rocking","nsubj",1
"754","Vimes","run","nsubj",1
"755","Vimes","running","nsubj",1
"756","Vimes","sah","nsubj",1
